160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
52,49,49,49,49,49,49,49,49,49,49,49,49,49,49,51
53,4,2,3,4,5,6,7,8,4,10,0,4,0,38,54
53,0,0,7,0,0,0,0,0,0,0,0,10,7,0,54
53,0,0,0,9,10,0,6,0,4,0,7,0,7,0,54
53,0,7,10,0,0,0,7,0,0,0,0,0,0,4,54
53,0,7,0,0,3,0,0,0,7,0,7,3,0,0,54
53,0,0,0,4,0,7,0,0,0,0,0,0,0,7,54
53,0,7,0,0,0,7,0,7,0,10,0,0,7,0,54
53,0,0,9,10,0,0,0,0,0,0,0,0,0,0,54
53,0,7,0,0,0,0,9,10,0,7,0,75,0,7,54
53,0,7,9,9,10,0,0,0,7,0,0,34,0,0,54
53,0,7,0,0,0,0,7,0,35,0,0,7,7,0,54
57,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56
