50,50,49,49,50,50,50,50,50,49,50,50,50,50,49,50
3,0,0,10,0,0,0,0,2,0,0,0,0,5,6,0
0,75,72,74,74,73,75,72,74,74,73,75,72,74,74,74
0,34,0,6,0,0,33,0,10,0,0,34,6,0,43,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,10,0,0,0,10,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,3,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
