160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
50,49,50,49,50,49,49,50,50,49,50,50,49,50,50,49
2,1,10,7,7,2,10,2,0,10,10,7,10,1,10,1
1,95,61,61,61,61,63,79,95,62,62,62,62,62,79,2
2,95,34,33,0,33,0,79,95,33,34,33,34,33,79,1
10,95,0,96,97,98,0,79,95,0,96,97,98,0,79,10
1,95,0,112,113,114,0,79,95,0,112,113,114,0,79,2
2,95,0,128,129,130,0,79,95,0,128,129,130,0,79,7
10,95,0,0,0,0,0,79,95,0,0,0,0,0,79,1
10,95,62,62,0,62,63,79,95,62,62,0,62,62,79,10
7,10,1,6,0,7,1,6,2,6,1,2,3,3,1,10
1,1,10,7,7,7,10,2,2,1,10,10,1,2,10,1
7,1,6,10,10,1,7,7,7,10,7,7,1,10,10,1
10,7,10,10,10,10,7,1,10,1,2,2,2,7,1,7
